ISO,Language,Dialect,Genetics,Speakers,Method,Quantity,vowel,f1,f2,f3
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Long,o,520.0,840.0,
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Long,u,400.0,880.0,
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Long,ɨ,440.0,1280.0,2840
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Long,ə,640.0,1360.0,
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Short,i,400.0,2560.0,3040
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Short,e,600.0,2320.0,3160
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Short,ɛ,880.0,2e3,2560
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Short,a,1120.0,1760.0,
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Short,ɑ,1e3,1400.0,
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Short,ɔ,760.0,1080.0,
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Short,o,560.0,840.0,
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Short,u,400.0,840.0,
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Short,ɨ,440.0,1200.0,2800
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Short,ə,800.0,1160.0,
brx,Bodo,,SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro,60,Isolation,Uniform,i,265.0,2390.0,3260
brx,Bodo,,SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro,60,Isolation,Uniform,e,520.0,1975.0,2760
brx,Bodo,,SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro,60,Isolation,Uniform,a,640.0,1270.0,2210
brx,Bodo,,SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro,60,Isolation,Uniform,o,535.0,1150.0,2265
brx,Bodo,,SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro,60,Isolation,Uniform,u,285.0,1210.0,2260
brx,Bodo,,SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro,60,Isolation,Uniform,ɯ,365.0,1265.0,2255
bul,Bulgarian,,IndoEuropean>BaltoSlavic>Slavic>South>Eastern,2,Wordlist,Uniform,i,261.0,1991.0,2559
bul,Bulgarian,,IndoEuropean>BaltoSlavic>Slavic>South>Eastern,2,Wordlist,Uniform,e,419.0,1684.0,2355
bul,Bulgarian,,IndoEuropean>BaltoSlavic>Slavic>South>Eastern,2,Wordlist,Uniform,a,575.0,1072.0,2186
bul,Bulgarian,,IndoEuropean>BaltoSlavic>Slavic>South>Eastern,2,Wordlist,Uniform,o,383.0,807.0,2244
bul,Bulgarian,,IndoEuropean>BaltoSlavic>Slavic>South>Eastern,2,Wordlist,Uniform,u,283.0,667.0,2217
bul,Bulgarian,,IndoEuropean>BaltoSlavic>Slavic>South>Eastern,2,Wordlist,Uniform,ə,370.0,1144.0,2235
bvi,Viri,,NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri,1,Isolation,Uniform,i,332.0,2094.0,2931
bvi,Viri,,NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri,1,Isolation,Uniform,ɛ,516.0,1813.0,2830
bvi,Viri,,NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri,1,Isolation,Uniform,a,603.0,1367.0,2578
bvi,Viri,,NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri,1,Isolation,Uniform,ɔ,498.0,995.0,2550
bvi,Viri,,NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri,1,Isolation,Uniform,ʊ,352.0,772.0,2466
bvi,Viri,,NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri,1,Isolation,Uniform,u,318.0,853.0,2298
bvr,Burarra,,Australian>Gunwigguan>Burarran,4,Wordlist,Uniform,i,420.0,1915.0,
bvr,Burarra,,Australian>Gunwigguan>Burarran,4,Wordlist,Uniform,e,640.0,1690.0,
bvr,Burarra,,Australian>Gunwigguan>Burarran,4,Wordlist,Uniform,a,770.0,1400.0,
bvr,Burarra,,Australian>Gunwigguan>Burarran,4,Wordlist,Uniform,o,635.0,1150.0,
bvr,Burarra,,Australian>Gunwigguan>Burarran,4,Wordlist,Uniform,u,465.0,1110.0,
bvx,Dibole,Dzeke,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi,2,Wordlist,Uniform,i,264.0,2005.0,XXX
bvx,Dibole,Dzeke,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi,2,Wordlist,Uniform,e,333.0,1989.0,XXX
bvx,Dibole,Dzeke,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi,2,Wordlist,Uniform,ɛ,511.0,1912.0,XXX
