ling,u.regexp,y.regexp,coronal.pre,coronal.post,palatal.pre,palatal.post,text.col,cleaning,notes
Hungarian ,ú,ű,[tdnlr]|(?<!c)z,[tdnlr]|c(?![zs])|sz|z(?!s),[syi]|cz,[yi]|s(?!z)|zs|ty|gy|ly|ny,name,"clean <- function (x) {gsub(""(~.*|\\(|\\)|[-]|/|[?])"", """", x)}","*not* proper orthographic transcription, and there are a few errors... (but 99% correct); cz = cs, y=j"
Italian ,[uʊ],,[tdnlrsz],[tdnlrsz],[jiʒ],[jiʒ],name,"clean <- function (x) {gsub(""(ˈ|ˌ|ː)"", """", x)}",orthography > transcription using espeak (http://espeak.sourceforge.net)
Khmer ,u:,,[dsrltn]|[dsrltn]h,[dsrltn],[jcń]|[jcń]h,[jcń],name,"clean <- function (x) {gsub(""(\\(.*\\)|[-])"", """", x)}","phonemic transcription with lots of diacritics that - luckily - don't seem to appear on u; my hunch is that ń is a palatal nasal, but luckily this is irrelevant as it never precedes u:; note also that lexicon is for Surin Khmer"
Komi ,u,,[tdlnsz\u0303],[tdlnsz]|.\u0303,[\u030Cy],[y]|.\u030C,name,"clean <- function (x) {gsub(""(\\(.*\\)|[-])"", """", x)}","some kind of transliteration, with a lot of diacritics - but not so much stuff pre-u; \u030C generally indicates palatals / palatoalveolars"
Latvian ,u\u0304,,[tdlnszcr],[tdlnszcr],[\u030C\u0329j],[j]|.[\u030C\u0329],name,"clean <- function (x) {gsub(""(\\(.*\\)|\\[|\\]|'|[/?])"", """", x)}",more or less standard orthography with some small differences; palatal consonants neatly marked by diacritics; c is [ts]
Maori ,uu,,[tnr],[tnr],[i],[i],name,"clean <- function (x) {tolower(gsub(""(\\(|\\)|\\[|\\]|^.*/|[/?-]|[.])"", """", x))}","spelling, with uu indicating long u (I think); macron is also occasionally used, but doesn't seem systematic"
Nepali ,(?<![àáēāīaeio])u(?!i),,[tdslrnjc]|[tdslrnjc]h,[tdslrnjc],[śñy]|[śñy]h,[śñy],name,clean <- function (x) {x},idiosyncratic transcription; it seems that c and j correspond to coronal affricates in Nepali (but palatals in e.g. Hindi)
Polish ,(o\u0301|u),,[tdslrnc]|(?<![csr])z,[tdln]|[csr](?!z),[ij\u0307\u0301]|cz|sz|rz,[ij]|cz|sz|rz|.[\u0307\u0301],name,"clean <- function (x) {gsub(""(\\(|\\)|\\[|\\]|/.*$|[?-]|[.])"", """", x)}","orthography, but palatals are quite straightforward to separate from coronals (mainly digraphs & diacritics)"
Portuguese ,((?<![\u0301aeiou])u(?![\u0308aeiou])|(?<![\u0301aeiou\u0303])o$),,[tdnlszr\u0327],[tdnlszr]|.\u0327,[xjh],[xjh],name,"clean <- function (x) {gsub(""(\\(|\\)|\\[|\\]|/.*$|[?])"", """", x)}","orthography, with super-complicated mapping to phonology; there are dipthongs (hence complicated regexp for u), and final unstressed o is [u]"
Punjabi ,ū,,[tdszlrn]|[td]h,[tdszlrn],[śjcy]|[jc]h,[śjcy],name,"clean <- function (x) {gsub(""(\\(|\\)|\\[|\\]|/.*$|[?'])"", """", x)}","transliteration, quite similar to Bengali & Nepali"
Romanian ,(?<![\u0306\u0302aeiou])u(?![\u0306\u0302aeiou]),,[tdslrn],[tdslrn],[j\u0327],[j]|.\u0327,name,"clean <- function (x) {gsub(""(\\(|\\)|sb[.])"", """", x)}","standard orthography, lots of possible diphthongs... but otherwise fairly straightforward"
Russian ,u,,[tdszlrnc],[tdszlrnc],[j\u030C],[j]|.\u030C,name,"clean <- function (x) {gsub(""(\\(|\\)|\\[|\\]|/.*$|[?]|[-]|[=]|[.])"", """", x)}","non-standard transliteration, but fairly straightforward"
Spanish ,(?<![\u0301aeiou])u(?![\u0308aeiou]),,[tdnszr]|(?<!l)l,[tdnszr]|l(?!l),y|ll|ch,y|ll|ch,name,"clean <- function (x) {gsub(""(\\(|\\)|/.*$|[?]|[¿])"", """", x)}","orthography, regexps based on Catalan but substantially modified "
Swedish ,uː,ʉ,[tdnszrl]|[tdnszrl]ː,[tdnszrl],[jɕʃx]|[jɕʃx]ː,[jɕʃx],name,"clean <- function (x) {gsub(""(\\(.*\\)|ˌ|ˈ)"", """", x)}","phonemic transcription generated using espeak – this has been the trickiest language so far... ""x"" seems to be used for sj-ljudet"
Telugu ,uu,,[tdnszrl]|[tdnszrl]h,[tdnszrl],[cjy]|[cj]h,[cjy],name,"clean <- function (x) {gsub(""(\\[|\\]|2|:|\\.|/|1|~)"", """", x)}","fairly straightforward transliteration, capitals stand for retroflex"
Thai ,u:,,[tdslrn]|th,[tdslrn],[cj]|ch,[cj],name,"clean <- function (x) {gsub(""(\\.[0-9]|\\(.*\\))"", """", x)}",IPA transcription – yay! very similar to Chong
Tsez ,у,,[дтцсзнрл]|[тцл]І|кь|лъ,[дтцсзнрл]|кь|лъ,[чшжй]|чІ,[чшжй],name,"clean <- function (x) {gsub(""(\\(|\\))"", """", x)}","cyrillic script, coronal = dtcsznrl|t'c'tl|tl'|ll; palatal = tS S Z j | tS'"
Udmurt ,u,,[tdsznl\u0303],[tdsznl]|.\u0303,[\u030Cʸǰy],[ǰy]|.[\u030Cʸ],name,"clean <- function (x) {gsub(""(\\(|\\)|~.*|[?])"", """", x)}","slightly messy transliteration, mostly phonemic-looking; coronal / palatal classification based on educated guesses..."
Wa ,(?<![aeɛiouɔɨə])u(?![aeɛiouɔɨə]),,[tdslrn]|[tdslrn]h,[tdslrn],[\u0301jćń]|[\u0301jćń]h,[jćń]|.\u0301,name,"clean <- function (x) {gsub(""(\\..|\\(|\\))"", """", x)}","close to IPA with some modifications; in this language, literally *anything* can be aspirated"
Welsh ,uː,,[lɬrtdnsz],[lɬrtdnsz],[jʃ],[jʃ],name,"clean <- function (x) {gsub(""(\\(.*\\)|ˌ|ˈ)"", """", x)}","orthography; used espeak to generate IPA transcription - clearly not just one-to-one character substitutions, but not sure about reliability; probably better than cobbling together a complex regex though..."
Yiddish,u,,[tdcrlnsz],[tdcrlnsz],[j\u030Cʸ],[j]|.[\u030Cʸ],name,"clean <- function (x) {gsub(""(\\(|\\)|/.*|')"", """", x)}","phonemic transcription, though not IPA – looks pretty straightforward"
Azerbaijani,у,ү,[дтсзнрл],[дтсзнрл],[чҹшжј],[чҹшжј],name,"clean <- function (x) {gsub(""(\\(|\\)|ʼ)"", """", x)}","cyrillic script, pretty transparent phoneme mapping; coronal = dtsznrl; palatal = tS dZ S Z j "
Mari,u(?!\u0308),u\u0308,[tðsznl\u0303],[tðsznl]|.\u0303,[yY\u030Cʸɲ],[yYɲ]|.[\u030Cʸ],name,"clean <- function (x) {gsub(""(\\(|\\)|~.*|[?'])"", """", x)}","idiosyncratic phonemic transcription, but not too tricky"
Selkup,u(?!\u0308),u\u0308,[tnsl\u0303],[tnsl]|.\u0303,[yʸ],[y]|.ʸ,name,"clean <- function (x) {gsub(""(\\(|\\)|~.*|[?'])"", """", x)}",idiosyncratic phonemic transcription; very similar to e.g. Mari and other Uralic languages
Lezgian,у(?!ь),уь,[дтцсзнрл]|[тц]І,[дтцсзнрл](?!в)|[тц]І(?!в),[чшжй]|чІ,[чшжй],name,"clean <- function (x) {gsub(""(\\(|\\)|~.*|[?'])"", """", x)}",cyrillic; cf Tsez
Ancient_Greek,u\u0304,,[tdnszrl]|[td]ʰ,[tdnszrl],,,name,"clean <- function (x) {gsub(""('|-|\\(|\\)|)"", """", x)}","Latin transliteration; pretty straightforward"
